 0, 0.000
73, 0.265
74, 0.255
75, 0.246
76, 0.237
77, 0.229
78, 0.220
79, 0.211
80, 0.202
81, 0.194
82, 0.185
83, 0.177
84, 0.168
85, 0.160
86, 0.152
87, 0.144
88, 0.137
89, 0.129
90, 0.122
91, 0.115
92, 0.108
93, 0.101
94, 0.095
95, 0.089
96, 0.084
97, 0.078
98, 0.073
99, 0.068
100, 0.064
101, 0.060
102, 0.056
103, 0.052
104, 0.049
105, 0.046
106, 0.043
107, 0.041
108, 0.039
109, 0.037
110, 0.035
111, 0.034
112, 0.033
113, 0.031
114, 0.030
115, 0.029
116, 0.028
117, 0.027
118, 0.025
119, 0.023
120, 0.020
