.10,  29200,  52400,  21900,  38450,  14600,  26200
.15,  52400, 123500,  38450,  85000,  26200,  61750
.25, 123500, 230250,  85000, 122425,  61750, 115125
.28, 230250, 413100, 122425, 213850, 115125, 206550
.33, 413100, 516650, 213850, 265625, 206550, 258325
.35, 516650, 760400, 265625, 631250, 258325, 623950
.396, 760400,       , 631250,      , 623950,
