.10,      0,  11925,      0,  23850,      0,  17000
.15,  11925,  48475,  23850,  96950,  17000,  64850
.25,  48475, 103350,  96950, 206700,  64850, 103350
.28, 103350, 197300, 206700, 394600, 103350, 197300
.33, 197300, 250525, 394600, 501050, 197300, 250500
.35, 250525, 626350, 501050, 751600, 250500, 626350
.396, 626350,       , 751600,       , 626350,
