.020, 1273, 2546, 1273, 2546, 1273, 2546,
.025, 2546, 3819, 2546, 3819, 2546, 3819,
.030, 3819, 5092, 3819, 5092, 3819, 5092,
.035, 5092, 6365, 5092, 6365, 5092, 6365,
.040, 6365, 7638, 6365, 7638, 6365, 7638,
.045, 7638, 8911, 7638, 8911, 7638, 8911,
