.10,      0,  11600,      0,  23200,      0,  16550
.12,  11600,  47150,  23200,  94300,  16550,  63100
.22,  47150, 100500,  94300, 201050,  63100, 100500
.24, 100500, 191950, 201050, 383900, 100500, 191950
.32, 191950, 243700, 383900, 487450, 191950, 243700
.35, 243700, 609350, 487450, 731200, 243700, 609350
.37, 609350,       , 731200,       , 609350,
