     0, 103000,      0, 206000, 2089,  416
103000, 129000, 206000, 258000, 2935,  571
129000, 161000, 258000, 322000, 4193,  816
161000, 193000, 322000, 386000, 5450, 1062
193000, 500000, 386000, 750000, 6708, 1307
500000,       , 750000,       , 7128, 1388
